dist_bucket,route_type,median,mean,count
long,Carting,9.0,9.0,1
long,FTL,2.486042954559939,2.9936552837167545,14
medium,Carting,2.5008028904054598,2.920940544538491,32
medium,FTL,1.5918367346938775,2.4252131411698445,181
short,Carting,1.8888888888888888,2.273294512697283,8872
short,FTL,1.7142857142857142,1.9117498399636845,5667
very_long,FTL,2.4738955823293174,2.9888871870261697,11
